景点id,景点名称,景点区域,景点级别,景点热度,景点简介,景点经纬度,景点地址
2549325765,北京动物园,北京·北京·西城区,4A景区,热度 0.72,百余种动物，让你离自然更近,"116.34331,39.947983",北京市西城区西直门外大街137号
3261940195,秦始皇陵博物院（兵马俑）,陕西·西安·临潼区,5A景区,热度 0.8800000000000001,世界第八大奇迹,"109.266029,34.386024",陕西省西安市临潼县秦始皇陵东1.5公里处
1431295098,锦里,四川·成都·武侯区,,热度 0.82,熙熙攘攘里，看透人生百态,"104.056424,30.651723",四川省成都市武侯区武侯祠大街231号
1582294258,都江堰,四川·成都·都江堰市,5A景区,热度 1.0,感受都江堰水利工程的古人智慧,"103.620123,31.006855",四川省成都市都江堰市
3633440059,西岛,海南·三亚·三亚湾,4A景区,热度 0.78,海上桃源，动感天堂,"109.379826,18.239896",海南省三亚市三亚湾西岛
1464040542,嘉峪关,甘肃·嘉峪关·嘉峪关市,5A景区,热度 0.8400000000000001,嘉峪关——万里长城西端的主宰,"98.22983,39.813112",甘肃省嘉峪关市明万里长城最西端
1152700456,乌尔禾魔鬼城,新疆·克拉玛依·克拉玛依区,4A景区,热度 1.0,具有丰富的科学内涵和极高的观赏价值,"85.743286,46.142001",新疆克拉玛依市东北部乌尔禾区境内
702121591,星海公园,辽宁·大连·沙河口区,,热度 0.8800000000000001,800多米弓形海水浴场，海天相连心旷神怡,"121.574491,38.884047",辽宁省大连市沙河口区中山路634号
2876585436,沈阳世博园,辽宁·沈阳·东陵区,5A景区,热度 0.7,植物种类多的让你眼花缭乱,"123.66082,41.871658",辽宁省沈阳市浑南区近郊高坎镇中马村双园路301号
2809556640,凤凰古城,湖南·湘西·凤凰县,4A景区,热度 1.0,邂逅数个人，偶遇一座城,"109.607088,27.953295",湖南省湘西土家族苗族自治州凤凰县凤凰古城
303066616,珠江夜游,广东·广州·天河区,,热度 0.0,珠江夜景，游广州必不可少的景点,"113.277534,23.121129",广东省广州市越秀区
891967151,寒山寺,江苏·苏州·金阊区,4A景区,热度 0.8800000000000001,姑苏城外寒山寺，夜半钟声到客船,"120.574213,31.316189",江苏省苏州市金阊区寒山寺弄24号
3243157188,碧峰峡,四川·雅安·雨城区,4A景区,热度 0.9,听浪漫传说，呼吸大自然新鲜空气,"102.997037,30.078428",四川省雅安市雨城区下里乡碧峰镇
1540437920,玉渡山,北京·北京·延庆县,,热度 0.7,延庆县城西北山中的玉渡山自然风景区,"115.906883,40.522014",北京市延庆县张山营镇玉皇庙村东
3534312851,狮子林,江苏·苏州·平江区,4A景区,热度 0.9,苏州园林中代表元朝艺术风格的私家园林,"120.635345,31.327256",江苏省苏州市平江区园林路23号
635236582,天龙八部影视城,云南·大理·大理市,3A景区,热度 0.76,为拍摄《天龙八部》兴建的拍摄基地,"100.155122,25.688114",云南省大理州大理古城苍山景区下
3457869885,黄姚古镇,广西·贺州·昭平县,4A景区,热度 1.0,诗境家园，电影《面纱》拍摄地,"111.209664,24.254288",广西壮族自治区贺州市昭平县
1136505403,伏尔加庄园,黑龙江·哈尔滨·香坊区,4A景区,热度 0.0,感受俄式建筑独特风情,"126.906666,45.676867",黑龙江省哈尔滨市香坊区哈成路16公里处
215413910,金顶,四川·乐山·峨眉山,5A景区,热度 0.0,峨眉山的主峰,"103.34597,29.526387",四川省乐山市峨眉山市峨眉山景区内
977923532,古龙峡漂流,广东·清远·清新区,4A景区,热度 0.76,广东漂流看清远，清远漂流看古龙,"112.967888,23.781724",广东省清远市清新县三坑滩
3354922060,胡里山炮台,福建·厦门·思明区,4A景区,热度 0.8400000000000001,八闽门户、天南锁钥,"118.113008,24.435089",福建省厦门市思明区曾厝垵路2号
2728004814,长鹿休闲度假农庄,广东·佛山·顺德区,5A景区,热度 0.72,体验岭南历史文化，感受农家生活情趣,"113.294206,22.883542",广东省佛山市顺德区伦教三洲建设东路8号
3063258403,八大处公园,北京·北京·石景山区,4A景区,热度 0.72,有八座古寺而得名，香山外另一爬山绝佳地,"116.190163,39.967956",北京市石景山区八达处路3号
3389244336,北京海洋馆,北京·北京·西城区,4A景区,热度 0.7,奇幻海洋之旅，在帝都感受大海的魅力,"116.347505,39.95032",北京市海淀区高粱桥斜街乙18号
3558786789,避暑山庄,河北·承德·双桥区,5A景区,热度 1.0,古代帝王宫苑，清代皇帝避暑处理政务地,"117.940068,41.002781",河北省承德市双桥区丽正门大街20号
3191715237,深圳玛雅水公园,广东·深圳·深圳欢乐谷,,热度 0.0,在玛雅文明的水上乐园中狂欢，激情夏日,"113.985824,22.54738",广东省深圳市南山区华侨城侨城西路深圳欢乐谷内
2530709380,武隆天生三桥风景区,重庆·重庆·武隆天坑地缝国家地质公园,5A景区,热度 0.72,变形金刚大战黄金甲,"107.811189,29.435993",重庆市武隆县龙桥街巷口镇芙蓉路88号
3745801534,武汉欢乐谷,湖北·武汉·青山区,4A景区,热度 0.0,华中城市旅游新名片,"114.400312,30.599848",湖北省武汉市青山区欢乐大道196号
4187512747,黄龙洞,湖南·张家界·武陵源区,4A景区,热度 0.8400000000000001,石柱、石幔、石花、石瀑，无奇不有异彩纷呈,"110.62123,29.368648",湖南省张家界市武陵源区索溪峪镇河口村
1533968259,芦笛岩,广西·桂林·秀峰区,4A景区,热度 0.76,大自然艺术之宫，接待300位国宾的溶洞,"110.279143,25.316464",广西壮族自治区桂林市秀峰区芦笛路1号
2713529684,龙门石窟,河南·洛阳·洛龙区,5A景区,热度 1.0,世界文化遗产 中国石刻艺术宝库,"112.479566,34.564212",河南省洛阳市洛龙区龙门中街13号
2140799835,天津盘山风景名胜区,天津·天津·蓟县,5A景区,热度 0.8,早知有盘山，何必下江南,"117.286958,40.100119",天津市蓟县官庄镇北15公里处
1487103532,芜湖方特东方神画（四期）,安徽·芜湖·鸠江区,,热度 0.0,非物质文化博览园,"118.464405,31.365991",安徽省芜湖市鸠江区赤铸山东路（芜湖方特二期附近）
1528569166,蜀风雅韵川剧变脸,四川·成都·青羊区,,热度 0.0,品味四川，亦真亦幻木偶戏,"104.052416,30.666385",四川省成都市青羊区琴台路23号
2126521451,亚龙湾热带天堂森林公园,海南·三亚·亚龙湾,4A景区,热度 0.8,非诚勿扰2拍摄地,"109.659829,18.25797",海南省三亚市吉阳镇亚龙湾国际旅游度假区
3665616149,上海海洋水族馆,上海·上海·浦东新区,4A景区,热度 0.74,穿越世界，来一次终生难忘的海洋之旅,"121.50818,31.246234",上海市浦东新区陆家嘴环路1388号（近东方明珠）
3116283086,世界之窗,广东·深圳·华侨城,5A景区,热度 0.0,全球微缩景点，精彩演绎、娱乐项目应有尽有,"113.979471,22.540136",广东省深圳市南山区深南大道9037号
1032158766,成都欢乐谷,四川·成都·金牛区,4A景区,热度 0.74,时尚、动感、欢乐、梦幻,"104.040108,30.729181",四川省成都市金牛区西华大道16号（近北三环交大立交）
3604690050,长隆水上乐园,广东·广州·广州长隆旅游度假区,5A景区,热度 0.72,全球必去的水上乐园,"113.331236,23.005835",广东省广州市番禺区迎宾路长隆旅游度假区内
2703837406,深圳欢乐谷,广东·深圳·南山区,5A景区,热度 0.8,狂欢无罪，够胆你就来,"113.987249,22.547732",广东省深圳市南山区华侨城侨城街1号
2782137950,呀诺达热带雨林,海南·三亚,5A景区,热度 0.0,地处北纬18度的热带雨林,"109.673664,18.456698",海南省保亭黎族苗族自治县三道农场呀诺达雨林文化旅游区
3941562390,广州塔,广东·广州·海珠区,4A景区,热度 0.0,360度羊城全貌，感受王者之居高临下,"113.330995,23.112229",广东省广州市海珠区阅江西路222号
2131323089,北海公园,北京·北京·西城区,4A景区,热度 0.76,让我们荡起双桨，小船儿推开波浪,"116.398222,39.939528",北京市西城区文津街1号（故宫北）
3844890123,深圳野生动物园,广东·深圳·南山区,4A景区,热度 0.0,放养式动物园让你和动物们“零距离”,"113.979114,22.604906",广东省深圳市南山区西丽镇西丽路4065号
245035852,锦绣中华民俗村,广东·深圳·华侨城,5A景区,热度 0.74,深圳小人国——实景微缩景区候选世界纪录,"113.993478,22.538498",广东省深圳市南山区深南大道9003号华侨城锦绣中华苏州街（近华侨城地铁站D出口）
2549325765,北京动物园,北京·北京·西城区,4A景区,热度 0.72,百余种动物，让你离自然更近,"116.34331,39.947983",北京市西城区西直门外大街137号
3261940195,秦始皇陵博物院（兵马俑）,陕西·西安·临潼区,5A景区,热度 0.8800000000000001,世界第八大奇迹,"109.266029,34.386024",陕西省西安市临潼县秦始皇陵东1.5公里处
1431295098,锦里,四川·成都·武侯区,,热度 0.82,熙熙攘攘里，看透人生百态,"104.056424,30.651723",四川省成都市武侯区武侯祠大街231号
1582294258,都江堰,四川·成都·都江堰市,5A景区,热度 1.0,感受都江堰水利工程的古人智慧,"103.620123,31.006855",四川省成都市都江堰市
1794402178,广州动物园,广东·广州·越秀区,4A景区,热度 0.74,我国三大城市动物园之一,"113.309834,23.148899",广东省广州市越秀区先烈中路120号
989946426,故宫,北京·北京·东城区,5A景区,热度 1.0,东方宫殿建筑代表，世界宫殿建筑典范,"116.403347,39.922148",北京市东城区景山前街4号
2180662363,上海野生动物园,上海·上海·浦东新区,5A景区,热度 0.72,与野生动物近距离的“亲密接触”,"121.728112,31.059636",上海市浦东新区南汇县三灶镇南六公路178号
69638736,峨眉山,四川·乐山·峨眉山市,5A景区,热度 1.0,云上金顶，天下峨眉,"103.342036,29.522835",四川省乐山峨眉山市峨眉山风景名胜区
3982940253,南山文化旅游区,海南·三亚,5A景区,热度 0.76,108米的海上三面观音，三亚不容错过之旅,"109.208867,18.296388",海南省三亚市崖城镇南山村
777857128,八达岭长城,北京·北京·延庆县,5A景区,热度 0.82,不到长城非好汉,"116.03293,40.369733",北京市延庆县军都山关沟古道北口216省道附近
2109842174,桂平西山,广西·贵港·桂平市,4A景区,热度 1.0,清泉甘洌，怪石嶙峋， 石径曲幽,"110.061746,23.405959",广西壮族自治区贵港市桂平县境内
1427399043,圆明园,北京·北京·海淀区,4A景区,热度 0.76,追忆昔日万园之园,"116.314607,40.01629",北京市海淀区清华西路28号
2388215734,清明上河园,河南·开封·龙亭区,5A景区,热度 1.0,穿越宋朝，亲身体验清明上河图,"114.346802,34.814867",河南省开封市龙亭区龙亭西路5号
2318546286,成都熊猫基地,四川·成都·成华区,4A景区,热度 0.8,无关黑与白， 不分胖与瘦， 可爱而又温暖,"104.152603,30.738951",四川省成都市成华区外北熊猫大道1375号
4251297113,稻城亚丁,四川·甘孜州·稻城县,4A景区,热度 1.0,从你的全世界路过,"100.324691,28.540034",四川省甘孜藏族自治州稻城县
3289429100,平遥古城,山西·晋中·平遥县,5A景区,热度 1.0,游览原汁原味古城，感受浓郁的晋商文化气息,"112.190081,37.21041",山西省晋中市平遥县
2298325421,蜈支洲岛,海南·三亚·海棠湾,5A景区,热度 0.86,私人订制主取景地,"109.770938,18.319925",海南省三亚市林旺镇海棠湾蜈支洲岛
2036617750,天涯海角,海南·三亚,4A景区,热度 0.9,天之涯海之角，爱就陪Ta到天涯海角,"109.36116,18.298477",海南省三亚市沿海滨西行26公里天涯镇马岭山麓
3346106506,黄山风景区,安徽·黄山·黄山区,5A景区,热度 1.0,五岳归来不看山，黄山归来不看岳,"118.193977,30.097967",安徽省黄山市黄山区黄山风景区
4014617654,张掖冰沟丹霞旅游景区,甘肃·张掖·肃南县,4A景区,热度 0.0,危崖劲露，气势磅礴，苍劲雄浑,"99.909973,39.013754",甘肃省张掖肃南县康乐乡
1064944660,灵隐寺,浙江·杭州,,热度 0.0,江南禅宗“五山”之一,"120.106626,30.241491",浙江省杭州市法云弄1号
728251717,天津方特欢乐世界,天津·天津·滨海新区,,热度 0.0,京津冀地区首家“科幻”高科技公园,"117.743299,39.159433",天津市滨海新区中新生态城中生大道北首生态岛内
365688441,金石滩旅游度假区,辽宁·大连·金州区,5A景区,热度 0.9199999999999999,凝固的动物世界，天然的地质博物馆,"122.012502,39.091863",辽宁省大连市金州区丹枫路金石滩国家旅游度假区
1308678621,青岩古镇,贵州·贵阳·花溪区,5A景区,热度 0.82,由土城而渐成街巷纵横错综之石城,"106.695326,26.339051",贵阳市花溪区交通路240号
2331193649,阳朔十里画廊,广西·桂林·阳朔县,,热度 0.0,沿路山峦奇特，如诗如画，令人如痴如醉,"110.476723,24.725351",广西省桂林市阳朔县月亮山
1558177493,海军博物馆,山东·青岛·市南区,3A景区,热度 0.78,一座大型专业性军事博物馆,"120.335671,36.060933",山东省青岛市市南区莱阳路8号
3658321041,广东科学中心,广东·广州·番禺,4A景区,热度 0.0,感受科技，聆听科技时尚的声音,"113.370389,23.045577",广东省广州市番禺区大学城西六路168号
4031215734,曲江海洋极地公园,陕西·西安·曲江旅游度假区,4A景区,热度 0.7,极地公园四馆八区带你畅游海洋世界,"108.98711,34.221745",陕西省西安市雁塔区曲江二路1号
619880243,明孝陵,江苏·南京·钟山风景区,5A景区,热度 0.86,朱元璋和马皇后合葬于此,"118.84258,32.056109",江苏省南京市玄武区紫金山南麓独龙阜玩珠峰下
89108430,鸟巢,北京·北京·奥林匹克公园,5A景区,热度 0.8400000000000001,北京的地标，中华民族崛起的象征,"116.404487,40.000484",北京市朝阳区国家体育场南路1号奥林匹克公园内
3467256297,云冈石窟,山西·大同·南郊区,5A景区,热度 1.0,石头写成的千年史卷,"113.139454,40.117323",山西省大同市城西约16公里的武州山南麓
1070854621,夜游三亚湾,海南·三亚·三亚湾,,热度 0.0,乘豪华游艇观赏三亚湾动人夜景,"109.443598,18.293513",海南省三亚市三亚湾
1066831477,长岛,山东·烟台·长岛县,4A景区,热度 0.78,朝看黄海日出，暮观渤海日落,"120.732217,37.921039",山东省烟台市长岛县长岛风景区
332451731,长沙世界之窗,湖南·长沙·开福区,4A景区,热度 0.72,将刺激的游乐项目和各国的历史遗迹融为一体,"113.058971,28.24039",湖南省长沙市开福区三一大道485号(靠近湖南广电)
2070637965,西安城墙,陕西·西安·碑林区,4A景区,热度 0.82,触摸历史遗迹，感受历史沧桑,"108.953364,34.256023",陕西省西安市碑林区永宁门
1708816601,鼓浪屿,福建·厦门·思明区,5A景区,热度 0.9800000000000001,琴之岛，乐之屿,"118.073486,24.452261",福建省厦门市思明区鼓浪屿
2177892882,越美冰雪大世界,广东·广州·番禺,,热度 0.0,广东省首家全天候越美冰雪大世界,"113.322024,22.944293",广东省广州市番禺区沙头街横江村第一工业区路1号之二
3677297610,华山,陕西·渭南·华阴市,5A景区,热度 1.0,只有天在上，更无山与齐,"110.088712,34.532247",陕西省渭南市华阴市境内
2769149828,北京欢乐谷,北京·北京·朝阳区,4A景区,热度 0.72,七大主题园区带你畅享北京欢乐谷,"116.500803,39.873539",北京市朝阳区东四环小武基北路
2450169620,宏村,安徽·黄山·黟县,5A景区,热度 0.78,炊烟袅袅升起，行走在皖南小山村,"117.995474,30.010385",安徽省黄山市黟县宏村镇宏村里
1395119860,大连森林动物园,辽宁·大连·西岗区,4A景区,热度 0.72,与动物嬉戏，共享和谐人生,"121.618712,38.887983",大连市西岗区迎春路60号 圈养区入(出)口，大连市西岗区滨海西路79号 散养区入(出)口
3913407350,广州名人蜡像馆,广东·广州·海珠区,,热度 0.0,创新性地实现了“活”的蜡像,"113.329799,23.111963",广州市海珠区广州塔（小蛮腰）一楼东广场
4281924223,长隆野生动物世界,广东·广州·广州长隆旅游度假区,5A景区,热度 0.74,熊猫三胞胎，与您共享欢乐时光,"113.335765,23.0003",广东省广州市番禺区迎宾路长隆旅游度假村旁
2833668773,青城山,四川·成都·都江堰市,5A景区,热度 0.96,青城山下白素贞，洞中千年修此身,"103.578829,30.903727",四川省成都市都江堰市青城山路
1562343914,长恨歌,陕西·西安·华清宫,,热度 0.0,中国首部大型实景历史舞剧,"109.219934,34.370442",陕西省西安市临潼区华清路38号华清池
1174758904,上海迪士尼乐园,上海·上海·浦东新区,,热度 0.0,点亮心中奇梦,"121.667917,31.149712",上海市浦东新区川沙新镇上海迪士尼度假区内
641515105,拙政园,江苏·苏州·平江区,5A景区,热度 1.0,庭院错落，花木为胜，天下园林之典范,"120.635191,31.330583",江苏省苏州市平江区东北街178号
1699488273,北京野生动物园,北京·北京·大兴区,4A景区,热度 0.7,北京郊区的一座大型自然生态动物园,"116.342645,39.50183",北京市大兴区一零六国道
3438058182,天门山国家森林公园,湖南·张家界·永定区,5A景区,热度 0.82,穿越云霄的旅行,"110.482089,29.072408",湖南省张家界市永定区天门山索道站
3359719819,澳门水舞间演出,澳门·澳门·新濠天地,,热度 1.0,带你进入前所未见的视觉震撼新里程,"113.5662092,22.1490843",澳门特别行政区凼仔岛氹连贯公路新濠天地水舞间剧院
1180423663,丽江千古情景区,云南·丽江·玉龙县,,热度 0.0,丽江大地上的千古文化演艺,"100.226381,26.834458",云南省丽江市玉龙县玉兴西路88号
873408284,长影世纪城,吉林·长春·南关区,5A景区,热度 0.86,北方冬天玩出狂拽酷炫,"125.453307,43.779397",吉林省长春市净月开发区长双公路
3915269116,梵净山,贵州·铜仁·铜仁市,,热度 1.0,独一无二，惊世骇俗,"108.781453,27.849178",中国贵州铜仁地区江口县梵净山
2506907772,东部华侨城大侠谷,广东·深圳·东部华侨城,,热度 0.0,行走峡湾栈道，倾听大自然的天籁之音,"114.310242,22.615183",广东省深圳市盐田区大梅沙东部华侨城
528078619,大报恩寺遗址公园,江苏·南京·秦淮区,,热度 0.0,长干里是江南佛教圣地素有“佛陀里”之美,"118.787634,32.015811",江苏省南京市秦淮区雨花路正学路1号
2906123035,贵安欢乐世界,福建·福州·连江县,,热度 0.0,生活中的童话，拥抱触手可及的快乐,"119.405391,26.251887",福建省福州市连江县贵安温泉旅游度假区贵安新天地
3945885040,长白山,吉林·延边·安图县,5A景区,热度 1.0,千年积雪为年松，直上人间第一峰,"128.079743,42.025855",吉林省延边市安图县二道白河镇池北区
2880151760,木兰草原,湖北·武汉·黄陂区,5A景区,热度 0.7,原滋原味的蒙古风情,"114.469899,30.967081",湖北省武汉市黄陂区王家河镇聂家岗
1841319965,云台山,河南·焦作·修武县,5A景区,热度 1.0,那片山的蓝，不仅是种颜色,"113.433752,35.426392",河南省焦作市修武县修武正北30公里方庄（靠近233省道）
820180826,中科院西双版纳热带植物园,云南·西双版纳·勐腊县,5A景区,热度 0.8400000000000001,四千余种来自世界各地的热带植物栖居于此,"101.260734,21.933968",云南省西双版纳州勐腊县勐仑镇(近野象谷)
2712470378,芜湖方特欢乐世界（一期）,安徽·芜湖·鸠江区,5A景区,热度 1.0,找刺激，不去玩就赔大了,"118.385526,31.382932",安徽省芜湖市鸠江区银湖北路80号
555017412,外滩观光隧道,上海·上海·黄浦区,,热度 0.7,具有迷幻色彩的魅力隧道,"121.497043,31.245469",上海市黄浦区中山东一路349号（陈毅广场向北70米）
3601401562,景洪曼听公园,云南·西双版纳·景洪市,4A景区,热度 0.86,古老的傣王御花园,"100.814267,21.998503",云南省西双版纳傣族自治州景洪市曼听路35号
166404101,华侨城,广东·深圳·南山区,5A景区,热度 0.74,世界几千年人类文明精华为您一次呈现,"113.990656,22.540551",广东省深圳市南山区深南大道9012
2306731853,布达拉宫,西藏·拉萨·城关区,5A景区,热度 1.0,朝圣者的天堂,"91.125491,29.660076",西藏自治区拉萨市城关区北京中路35号
243830915,南京总统府,江苏·南京·玄武区,4A景区,热度 0.8,了解中国近代史，切记勿忘国耻,"118.803688,32.049877",江苏省南京市玄武区长江路292号
669575040,武隆天坑地缝国家地质公园,重庆·重庆·武隆县,5A景区,热度 0.0,反映地球演化历史的杰出范例,"107.773314,29.423324",重庆市武隆县银杏大道武隆喀斯特旅游区
383907200,陕西历史博物馆,陕西·西安·雁塔区,4A景区,热度 0.9199999999999999,在这里，见证中华文明,"108.961746,34.230944",陕西省西安市雁塔区小寨东路91号
1048673142,杭州海底世界,浙江·杭州·西湖区,,热度 0.0,西子湖畔畅游海底世界，了解神秘海洋生物,"120.162161,30.240049",浙江省杭州市西湖区南山路49号
1904080836,沙湾古镇,广东·广州·番禺,,热度 0.0,一个有着800多年历史的岭南文化古镇,"113.340932,22.909438",广东省广州市番禹区沙湾大巷涌路10号沙湾古镇
2430966413,宝墨园,广东·广州·番禺,4A景区,热度 0.72,华夏文化浓缩地之一,"113.30069,22.901146",广东省广州市番禺区沙湾镇紫妮村
4268080051,颐和园,北京·北京·海淀区,5A景区,热度 0.82,保存完整的一座皇家行宫御苑,"116.276887,39.999497",北京市海淀区新建宫门路19号
300269948,上海长风海洋世界,上海·上海·普陀区,4A景区,热度 0.7,和奥莉一起看海豚啦,"121.403563,31.230472",上海市普陀区大渡河路451号（长风公园4号门）
4194325354,天安门广场,北京·北京·东城区,,热度 1.0,我爱北京天安门，天安门上太阳升,"116.404015,39.912729",北京市东城区天安门
3834620844,杭州飞来峰,浙江·杭州·西湖,,热度 0.72,江南少见的古代石窟艺术瑰宝,"120.107258,30.243005",浙江省杭州市西湖区灵隐路法云弄1号
1504293946,世界公园,北京·北京·丰台区,4A景区,热度 0.7,40个国家的109处著名古迹名胜微缩景点,"116.2937,39.816749",北京市丰台区花乡丰葆路158号
899803366,水立方,北京·北京·奥林匹克公园,,热度 0.0,中国的荣耀，阳光下的晶莹水滴,"116.396015,39.999061",北京市朝阳区天辰东路11号奥林匹克公园内
214642947,青岛海昌极地海洋世界,山东·青岛·崂山区,4A景区,热度 0.76,私会极地来的珍稀动物,"120.449481,36.07508",山东省青岛市崂山区东海东路60号
2361001392,南宁海底世界,广西·南宁·兴宁区,4A景区,热度 0.0,不一样的地方，不一样的海底世界,"108.339179,22.832756",广西省南宁市兴宁区民主路6-8号人民公园后门
2519122776,东部华侨城,广东·深圳·盐田区,4A景区,热度 0.76,深圳唯美、动感的生态主题乐园,"114.299739,22.623307",广东省深圳市盐田区艺海东路东部华侨城
4085764381,乌镇西栅,浙江·嘉兴·乌镇,,热度 0.0,水乡风貌原汁原味，文化底蕴千年积淀,"120.493068,30.755595",浙江省嘉兴市桐乡市乌镇西大街
1706838119,牛首山文化旅游区,江苏·南京·江宁区,4A景区,热度 0.0,佛教牛头禅的发祥地,"118.751653,31.918951",江苏省南京市江宁区宁丹大道18号
521189061,灵山小镇拈花湾,江苏·无锡·滨湖区,,热度 0.0,东方禅意度假胜地，世界佛教论坛永久会址,"120.079209,31.419262",江苏省无锡市滨湖区马山环山西路
1333032179,沈阳故宫,辽宁·沈阳·沈河区,4A景区,热度 0.7,观皇家宫苑，赏珍宝文物,"123.462202,41.804471",辽宁省沈阳市沈河区沈阳路171号
2317399209,海洋奇梦馆,广东·深圳·欢乐海岸,,热度 0.0,海洋奇梦馆，带你寻找童年的海洋梦,"113.999433,22.528509",广东省深圳市南山区欢乐海岸内
4201874307,哈尔滨极地馆,黑龙江·哈尔滨·松北区,4A景区,热度 0.8,全球罕见的极地演艺游乐园,"126.593929,45.791562",黑龙江省哈尔滨市松北区太阳大道3号
2592790641,野象谷,云南·西双版纳·景洪市,4A景区,热度 1.0,与憨态可掬的大象漫步在热带雨林,"100.865759,22.175621",云南省西双版纳傣族自治州景洪市勐养镇三岔河
2270260929,天目湖南山竹海景区,江苏·常州·天目湖旅游度假区,5A景区,热度 0.8800000000000001,万亩竹海让你返璞归真,"119.539659,31.181493",江苏省常州溧阳市横涧镇李家园下场园10号
3461659426,碧螺塔海上酒吧公园,河北·秦皇岛·北戴河区,4A景区,热度 0.7,一个具有百老汇风情的中国式酒吧公园,"119.54357,39.827324",河北省秦皇岛市北戴河区东海滩路中段(近鸽子窝公园)
1360812455,杭州动物园,浙江·杭州·西湖区,4A景区,热度 0.7,一座别致的园林式的动物园,"120.139701,30.218842",浙江省杭州市西湖区虎跑路40号
1594051451,大昭寺,西藏·拉萨·城关区,5A景区,热度 0.9199999999999999,西藏辉煌的一座吐蕃时期的建筑,"91.140356,29.65617",西藏拉萨市城关区中心八角街
1703719381,天河潭,贵州·贵阳·花溪区,4A景区,热度 0.82,黄果树瀑布之雄，龙宫之奇花溪之秀,"106.586422,26.44822",贵州省贵阳市花溪区石板镇天河潭风景区
2921190610,壶口瀑布（山西）,山西·临汾·吉县,4A景区,热度 0.8800000000000001,一年四季，欣赏不同时期瀑布恢宏,"110.458711,36.136265",山西省临汾市吉县壶口镇黄河壶口瀑布国家地质公园内
3998656882,本溪水洞,辽宁·本溪·本溪县,5A景区,热度 1.0,石奇，松秀，大气磅礴的“北国小黄山”,"124.090355,41.308561",辽宁省本溪市本溪满族自治县谢家崴子村
1815236618,丽江古城,云南·丽江·古城区,5A景区,热度 1.0,一座没有城墙的古城，依山傍水，风景秀丽,"100.240547,26.881159",云南省丽江市玉龙纳西族自治县东大街1号
3611702461,广州海洋馆,广东·广州·越秀区,,热度 0.74,去感受与海洋之间从未有过的亲近,"113.311422,23.149991",广东省广州市越秀区先烈中路120号
2532223338,什刹海,北京·北京·西城区,4A景区,热度 0.78,老北京的温柔乡，北京签到地,"116.390595,39.949373",北京市西城区羊房胡同
1963366916,东方明珠,上海·上海·浦东新区,5A景区,热度 0.76,感受云端漫步，品味老上海风情,"121.50626,31.245369",上海市浦东新区世纪大道1号
4166686714,鼓浪屿往返轮渡,福建·厦门·鼓浪屿,,热度 0.0,鼓浪屿上岛必备神器,"118.079267,24.461298",福建省厦门市思明区鹭江道（近中山路）
355035620,张家界,湖南·张家界,,热度 0.0,湘鄂渝黔革命根据地的发源地和中心区域,"110.485702,29.122834",湖南省张家界市
3879564186,茶卡盐湖,青海·海西蒙古族藏族自治州·乌兰县,4A景区,热度 0.8400000000000001,"天然结晶盐，晶大质纯,盐味醇香","99.155005,36.666619",青海省海西州鸟兰县茶卡镇盐湖路
